transit_depth,transit_duration_hrs,ingress_duration_hrs,egress_duration_hrs,ingress_egress_ratio,depth_duration_ratio,odd_even_depth_diff,secondary_eclipse_depth,snr,flat_bottom_fraction,secondary_eclipse_significance,odd_even_depth_significance,transit_symmetry_score,out_of_transit_variability,transit_count,stellar_density_proxy,depth_consistency_across_transits,kepid,koi_period,koi_prad,true_class
0.00028397,908.6163,463.5797,254.9689,1.818182,3.1e-07,1.223181,0.00021585,1.7067,0.5,0.760111,1.500437,0.0,0.00016639,2,0.027532,0.61159,5972334,38.65208,2.07,Transit
0.00096147,214.6048,2.2355,4.4709,0.5,4.48e-06,0.180663,0.00030542,4.1453,1.0,0.317657,0.545883,0.0,0.00023194,3,0.486454,0.097322,5358241,18.649327,3.12,Transit
0.00444226,1.0821,0.3246,0.3246,1.0,0.00410521,0.136195,0.00074248,6.3638,0.375,0.16714,1.733712,0.0,0.00069806,38,8884.370951,0.207556,7811211,0.902404,6.17,Transit
0.00042629,26.834,0.3531,1.0592,0.333333,1.589e-05,4e-06,9.7e-05,3.2434,0.25,0.227549,2.4e-05,0.0,0.00013143,31,6.194211,1.027915,5352640,2.942423,1.42,Transit
0.00087134,15.4382,9.9006,0.1678,59.0,5.644e-05,0.189255,0.0003599,2.8579,0.166667,0.413044,0.295322,0.0,0.00030489,8,7.482383,0.741242,10190777,1.41123,1.71,Transit
0.0004859,39.8447,5.5998,26.9221,0.208,1.219e-05,1.439146,0.00032131,2.5034,0.25,0.661276,2.847807,0.0,0.00019409,20,0.705164,1.222471,10858691,1.796321,1.2,Transit
0.0,812.2052,359.1661,424.469,0.846154,0.0,0.238455,0.0,0.0,0.0,0.0,0.435929,0.0,0.00015268,3,0.029873,0.119227,8888745,34.026987,1.57,Transit
0.0,231.7856,145.594,83.8621,1.736111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00010804,0,211.446605,nan,11654039,436.42852,1.26,Transit
0.00078426,42.8642,1.67,0.5567,3.0,1.83e-05,0.119505,4.607e-05,4.3516,0.25,0.058745,0.500584,0.0,0.00018022,8,3.787836,0.375848,4852528,4.645382,1.33,Transit
0.0,345.8506,137.6159,195.5595,0.703704,0.0,11.897068,0.0,0.0,0.0,0.0,2.979756,0.0,0.00019454,3,0.076146,9.102309,9411166,15.095213,nan,Transit
0.00213789,210.8239,195.6819,2.3295,84.0,1.014e-05,0.894091,0.0,1.097,0.5,0.0,0.468482,0.0,0.00194883,2,0.46468,0.447045,4075067,17.747606,146.63,Transit
0.00045912,133.0139,38.881,23.8743,1.628571,3.45e-06,0.243402,0.00029288,1.9954,0.25,0.637917,0.074439,0.0,0.00023009,7,0.1901,6.856125,5978170,5.688791,0.99,Transit
0.00053315,685.3423,663.3527,7.3299,90.5,7.8e-07,6.298019,0.0,1.9788,0.5,0.0,1.481938,0.0,0.00026943,2,0.040111,3.14901,10747162,30.561533,1.53,Transit
0.00289836,31.3421,5.0825,16.0946,0.315789,9.247e-05,0.232842,0.0,2.1777,1.0,0.0,0.430668,0.0,0.00133094,10,5.602329,1.411614,11410904,3.532324,1.43,Transit
0.00037425,481.2947,6.2914,6.2914,1.0,7.8e-07,0.057309,3.896e-05,3.8474,0.5,0.104113,0.166077,0.0,9.727e-05,2,0.08534,0.028655,9892816,26.234745,2.76,Transit
0.00055026,807.0444,4.534,507.8032,0.008929,6.8e-07,1.1864,4.375e-05,2.6463,1.0,0.079504,2.143934,0.0,0.00020793,2,0.037584,0.5932,9580992,37.803412,2.95,Transit
0.00101589,293.7367,131.0518,141.5962,0.925532,3.46e-06,0.059255,0.00077271,3.1748,1.0,0.760617,0.137351,0.0,0.00031998,3,0.086061,0.396057,5351250,12.560966,2.74,Transit
0.00055694,13.1678,0.2147,0.6441,0.333333,4.23e-05,1.221783,0.00042187,2.5028,0.333333,0.757476,0.743284,0.0,0.00022253,42,2.158075,5.052474,12265786,0.597018,1.09,Transit
0.00024231,536.806,5.5628,258.6682,0.021505,4.5e-07,0.725541,0.00016417,2.86,0.5,0.677523,1.068816,0.0,8.472e-05,2,0.048096,0.36277,9962455,23.198585,2.61,Transit
0.00086188,0.7055,0.3024,0.2016,1.5,0.00122169,0.252286,0.00037016,4.6505,0.166667,0.429476,2.767588,0.0,0.00018533,104,27777.287651,1.127525,11870545,0.839961,1.63,Transit
0.0,3562.7336,253.1892,3255.2896,0.077778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.076e-05,0,0.006945,nan,11457664,150.728285,1.27,Transit
0.00136665,41.2262,1.649,0.8245,2.0,3.315e-05,0.242045,0.00030979,5.2814,0.5,0.226676,1.203661,0.0,0.00025877,6,9.331858,0.160026,10166274,6.877446,2.05,Transit
0.00036706,56.2977,1.1489,1.7234,0.666667,6.52e-06,0.114294,6.1e-07,3.6945,0.5,0.001674,0.420848,0.0,9.935e-05,8,1.777811,0.356246,11403339,4.790295,1.01,Transit
0.00037413,812.2693,61.2263,714.3072,0.085714,4.6e-07,0.072439,0.00060423,0.9024,0.0,1.615031,0.059045,0.0,0.00041458,2,0.02988,0.03622,8022244,34.035061,2.76,Transit
0.00043705,179.3181,0.9388,168.9909,0.005556,2.44e-06,1.656259,0.0002509,1.1937,0.0,0.574069,1.33393,0.0,0.00036613,5,0.146802,1.887901,4139816,7.825022,1.2,Transit
0.00021119,297.4551,191.3279,73.2427,2.612245,7.1e-07,0.882484,0.00020023,1.4886,0.0,0.948122,1.094401,0.0,0.00014187,4,0.081554,0.521488,12416597,12.460565,1.1,Transit
0.00011075,262.9971,92.2555,123.9253,0.744444,4.2e-07,1.945786,8.672e-05,1.8607,0.166667,0.783098,0.813286,0.0,5.952e-05,2,0.100415,0.972893,7983117,11.495002,1.53,Transit
