Model,Accuracy,Macro-F1,F1_Blend,F1_Eclipsing Binary,F1_Other/Noise,F1_Transit
XGBoost,0.5862068965517241,0.5765264976958525,0.4,0.625,0.5714285714285714,0.7096774193548387
LightGBM,0.5689655172413793,0.5708968450903935,0.3870967741935484,0.7096774193548387,0.6153846153846154,0.5714285714285714
CatBoost,0.5344827586206896,0.5241005291005291,0.35714285714285715,0.6666666666666666,0.48,0.5925925925925926
Ensemble,0.603448275862069,0.5978009259259258,0.37037037037037035,0.6875,0.6666666666666666,0.6666666666666666
