kepid,koi_disposition,koi_period,koi_time0bk,koi_duration,koi_depth,koi_prad,koi_model_snr,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec
9579641,CANDIDATE,3.43591631,132.6624,3.133,23.2,0.55,8.7,0,0,0,0
11923270,CONFIRMED,11.59822233,180.395376,2.5237,2804.5,2.65,71.0,0,0,0,0
11960862,CONFIRMED,6.575315881,173.634044,4.3084,2793.3,5.31,221.1,0,0,0,0
12020329,CONFIRMED,7.275040844,169.994217,7.5377,3001.0,4.86,312.1,0,0,0,0
12066335,CONFIRMED,19.27153892,186.77093,2.7594,1219.8,1.93,37.1,0,0,0,0
12066335,CONFIRMED,10.06524317,136.28906,1.369,1053.3,1.91,30.3,0,0,0,0
12070811,CONFIRMED,12.3935651,178.74725,3.8896,916.6,2.66,35.8,0,0,0,0
8395660,CONFIRMED,43.84439721,151.93538,6.802,615.2,2.87,83.7,0,0,0,0
3120431,FALSE POSITIVE,3.341913228,171.63943,3.813,725.3,21.55,39.0,0,1,1,0
3246984,FALSE POSITIVE,1.626630225,169.820171,2.1145,1620.6,32.43,103.6,0,0,1,0
3342970,CONFIRMED,2.711504086,170.03417,3.0099,837.5,3.12,64.5,0,0,0,0
3342970,CONFIRMED,7.21203748,172.81782,4.0491,950.4,3.32,51.5,0,0,0,0
12459725,FALSE POSITIVE,14.1798187,171.50237,2.505,459.9,1.88,11.2,0,0,0,1
12470844,CONFIRMED,8.47237911,174.16212,2.7245,1123.5,2.59,47.6,0,0,0,0
12470844,CONFIRMED,60.4189369,181.16367,5.039,931.3,2.36,20.1,0,0,0,0
12644822,CONFIRMED,12.611904345,180.892284,5.1497,6105.6,7.4,277.2,0,0,0,0
2440757,FALSE POSITIVE,1.433769925,170.403536,1.8868,1976.3,46.58,112.6,0,1,0,0
2445129,FALSE POSITIVE,10.31872301,173.31543,3.836,871.7,28.59,38.2,0,1,1,0
2713049,CONFIRMED,2.539183147,169.67494,2.4282,382.1,2.06,38.9,0,0,0,0
3114167,CONFIRMED,6.770300385,170.57662,2.0844,1304.0,2.77,50.8,0,0,0,0
3114661,FALSE POSITIVE,0.444291966,169.865406,2.0792,10967.4,27.51,299.7,0,1,1,1
3115833,CANDIDATE,10.181584004,177.141891,3.5089,5741.1,7.73,183.6,0,0,0,0
4139816,CONFIRMED,20.06036336,147.46554,3.3203,1494.7,1.96,35.2,0,0,0,0
4139816,CONFIRMED,46.1842039,165.23729,4.758,1394.7,1.83,26.0,0,0,0,0
8395660,CONFIRMED,23.9800854,147.537,5.351,104.0,1.31,17.1,0,0,0,0
4139816,CONFIRMED,7.82502168,136.54995,2.186,520.8,1.2,15.9,0,0,0,0
4275191,CONFIRMED,3.895936525,170.527552,2.3111,8544.8,7.34,370.8,0,0,0,0
4476123,CONFIRMED,22.36646466,175.45862,5.228,986.8,2.32,32.1,0,0,0,0
3351888,CONFIRMED,1.625522174,170.8266564,2.38963,7969.0,9.73,799.7,0,0,0,0
3453214,CANDIDATE,19.620346923,181.881819,2.0038,21724.6,13.6,340.5,0,0,0,0
3554600,FALSE POSITIVE,7.544039,171.7982,6.222,322.6,17.47,14.2,1,0,1,0
3641726,CONFIRMED,9.02930689,177.20422,3.1449,1019.8,2.57,53.9,0,0,0,0
3734868,FALSE POSITIVE,10.328035714,174.581054,7.7915,16917.7,13.28,636.8,0,1,0,0
3832474,CONFIRMED,143.2063047,154.23552,8.9302,10565.7,8.9,138.8,0,0,0,0
8395660,CONFIRMED,6.164876,135.63916,3.262,55.8,0.79,14.4,0,0,0,0
3832474,CONFIRMED,60.32494216,243.892578,6.6188,20280.4,12.19,347.2,0,0,0,0
3832474,CONFIRMED,29.1598615,150.69922,4.803,488.0,1.91,11.6,0,0,0,0
3836375,FALSE POSITIVE,1.540397253,170.50479,2.1541,816.1,25.69,38.8,0,0,1,1
3838486,FALSE POSITIVE,2.99025443,171.9834,5.414,589.2,1.7,48.5,0,0,1,1
3935914,CONFIRMED,1.594745374,170.6483505,1.9604,15044.5,11.3,1009.3,0,0,0,0
3940418,CONFIRMED,4.783002698,170.508434,2.335,1008.7,2.5,70.6,0,0,0,0
4049131,CONFIRMED,20.50588921,181.43428,4.0595,2105.5,3.41,78.5,0,0,0,0
4139816,CONFIRMED,3.340218842,171.979062,1.9104,1632.6,2.03,71.6,0,0,0,0
5287983,FALSE POSITIVE,2.507089906,171.002455,2.0067,1339.2,30.26,64.9,0,1,1,0
5358241,CONFIRMED,18.64932728,174.771,4.4056,893.6,3.12,46.1,0,0,0,0
10875245,CONFIRMED,4.90144976,138.60548,4.1654,140.7,1.7,50.6,0,0,0,0
5358241,CONFIRMED,9.75192101,138.78608,4.793,418.0,2.76,28.5,0,0,0,0
5358241,CONFIRMED,38.5576546,163.85063,5.794,993.0,4.02,39.7,0,0,0,0
5358624,CONFIRMED,3.525632539,170.0479951,2.59959,22335.0,11.58,1996.7,0,0,0,0
4544670,CANDIDATE,34.84398644,172.633252,2.9315,4523.6,7.61,76.8,0,0,0,0
4664847,CONFIRMED,7.748094239,174.997206,3.5957,2472.1,5.52,113.2,0,0,0,0
4725681,CONFIRMED,23.96793669,186.22182,3.827,1182.3,1.8,27.5,0,0,0,0
4725681,CONFIRMED,8.29561738,135.79284,1.3421,824.3,1.82,17.9,0,0,0,0
4913852,CONFIRMED,8.11437482,176.33968,2.2736,1558.0,2.1,56.4,0,0,0,0
4932348,FALSE POSITIVE,38.036729482,196.934947,4.34617,82871.6,27.5,1300.0,0,1,0,0
4936180,CANDIDATE,4.64090031,173.64638,35.512,2450.6,30.09,296.9,0,0,0,0
11913073,FALSE POSITIVE,3.747838198,171.66504,5.0642,616.0,13.65,138.2,0,1,1,1
10875245,CONFIRMED,14.74914825,138.77799,6.0995,430.2,2.89,107.4,0,0,0,0
5021899,CONFIRMED,21.81295996,174.01085,4.3791,1175.4,3.38,37.8,0,0,0,0
5077629,FALSE POSITIVE,7.91936937,172.181092,3.3148,15148.1,10.34,389.0,0,1,0,0
5115978,CANDIDATE,1.028436523,170.228582,1.8606,8098.0,72.77,89.6,0,0,0,0
5164255,CONFIRMED,15.37562369,173.61402,3.3169,15337.0,11.01,166.0,0,0,0,0
5252423,CONFIRMED,8.10363271,176.9486,3.161,887.9,2.11,39.3,0,0,0,0
5252423,CONFIRMED,4.71510843,134.96178,2.506,417.5,1.46,21.3,0,0,0,0
5272878,CONFIRMED,6.365839713,171.13575,2.9721,780.7,2.44,70.8,0,0,0,0
5283542,FALSE POSITIVE,5.97581754,174.77602,3.065,962.4,3.86,50.3,0,0,1,0
5649215,FALSE POSITIVE,2.446737317,170.66951,4.7211,1177.9,26.25,110.2,0,0,1,1
5651104,CONFIRMED,3.04033046,169.9490106,1.8411,10858.8,8.99,568.2,0,0,0,0
